batch,order_index,order,mean_err_D1,std_err_D1,passes_D1,mean_err_D2,std_err_D2,passes_D2,mean_err_D3,std_err_D3,passes_D3,mean_err_D4,std_err_D4,passes_D4,mean_err_D5,std_err_D5,passes_D5,tolerance
128,4,episode_cluster_seed_3,8.076768580611571e-07,6.9128649986816004e-06,True,8.881784197001252e-16,1.7819079545233762e-14,True,8.881784197001252e-16,1.514457310947126e-08,True,8.076768580611571e-07,1.0285239226970333e-07,True,8.881784197001252e-16,1.7319479184152442e-14,True,1e-05
1,5,episode_cluster_seed_4,1.298926871640127e-05,0.0001687494750443469,False,1.1102230246251565e-14,1.3165857293273575e-13,True,1.1102230246251565e-14,1.514454374407226e-08,True,1.298926871640127e-05,3.5815542558659264e-06,False,1.1102230246251565e-14,1.6486811915683575e-14,True,1e-05
8,5,episode_cluster_seed_4,2.238188332670532e-06,2.1203078583581503e-05,False,3.219646771412954e-15,2.628453010800058e-14,True,3.219646771412954e-15,1.5144622722562673e-08,True,2.238188332670532e-06,8.101565332208072e-07,True,3.219646771412954e-15,1.6819878823071122e-14,True,1e-05
32,5,episode_cluster_seed_4,1.576508932954468e-06,1.9469640895025675e-05,False,1.1102230246251565e-15,1.84297022087776e-14,True,1.1102230246251565e-15,1.514458930484963e-08,True,1.576508932954468e-06,2.464612210428818e-07,True,1.1102230246251565e-15,1.7486012637846216e-14,True,1e-05
128,5,episode_cluster_seed_4,5.036253269974367e-07,4.628084345953409e-06,True,8.881784197001252e-16,1.7930101847696278e-14,True,8.881784197001252e-16,1.5144582213300062e-08,True,5.036253269974367e-07,1.0215501675125971e-07,True,8.881784197001252e-16,1.715294573045867e-14,True,1e-05
1,6,episode_cluster_seed_5,2.8040971213227905e-05,0.00032345332924951786,False,1.2212453270876722e-14,1.191408083300871e-13,True,1.2212453270876722e-14,1.514454171791524e-08,True,2.8040971213227905e-05,1.8259843075907334e-06,False,1.2212453270876722e-14,1.8207657603852567e-14,True,1e-05
8,6,episode_cluster_seed_5,1.761351174467407e-06,2.2298313931329306e-05,False,2.220446049250313e-15,2.1219137558148304e-14,True,2.220446049250313e-15,1.5144605500228003e-08,True,1.761351174467407e-06,8.764237688918541e-07,True,2.220446049250313e-15,1.687538997430238e-14,True,1e-05
32,6,episode_cluster_seed_5,5.915026031200199e-07,9.076082271672337e-06,True,8.881784197001252e-16,1.7319479184152442e-14,True,8.881784197001252e-16,1.5144606513306513e-08,True,5.915026031200199e-07,2.3314300975907365e-07,True,8.881784197001252e-16,1.6819878823071122e-14,True,1e-05
128,6,episode_cluster_seed_5,3.844160374466554e-07,2.9815060340332433e-06,True,7.771561172376096e-16,1.8263168755083825e-14,True,7.771561172376096e-16,1.5144587278692612e-08,True,3.844160374466554e-07,1.2725193149210057e-07,True,7.771561172376096e-16,1.7208456881689926e-14,True,1e-05
1,7,episode_cluster_seed_6,1.5828047341459595e-05,0.00015650562222371822,False,8.43769498715119e-15,8.711087406965135e-14,True,8.43769498715119e-15,1.5144509327158495e-08,True,1.5828047341459595e-05,1.6173680508768662e-06,False,8.43769498715119e-15,1.7486012637846216e-14,True,1e-05
8,7,episode_cluster_seed_6,1.525788247414006e-06,9.619974655247776e-06,True,2.7755575615628914e-15,1.8096635301390052e-14,True,2.7755575615628914e-15,1.51445771617853e-08,True,1.525788247414006e-06,1.1036785813045569e-06,True,2.7755575615628914e-15,1.6764367671839864e-14,True,1e-05
32,7,episode_cluster_seed_6,6.918079121787102e-07,3.0609148300719813e-06,True,1.3322676295501878e-15,2.6353919047039653e-14,True,1.3322676295501878e-15,1.51445670310002e-08,True,6.918079121787102e-07,1.8843952617753068e-07,True,1.3322676295501878e-15,1.7541523789077473e-14,True,1e-05
128,7,episode_cluster_seed_6,5.036253269974367e-07,4.076741381781046e-06,True,5.551115123125783e-16,1.8263168755083825e-14,True,5.551115123125783e-16,1.5144586265614102e-08,True,5.036253269974367e-07,1.0215501675125971e-07,True,5.551115123125783e-16,1.715294573045867e-14,True,1e-05
1,8,episode_cluster_seed_7,1.2163891378813574e-05,0.00017533323808278933,False,1.0658141036401503e-14,1.1234069230425803e-13,True,1.0658141036401503e-14,1.514470776564636e-08,True,1.2163891378813574e-05,3.4070903440486244e-06,False,1.0658141036401503e-14,1.6819878823071122e-14,True,1e-05
8,8,episode_cluster_seed_7,1.0460954371627196e-06,3.0609148300719813e-06,True,3.219646771412954e-15,4.338196468722799e-14,True,3.219646771412954e-15,1.514458020102083e-08,True,1.0460954371627196e-06,8.652600022029944e-07,True,3.219646771412954e-15,1.759703494030873e-14,True,1e-05
32,8,episode_cluster_seed_7,1.068339761323145e-06,1.3419770759678928e-05,False,1.7763568394002505e-15,1.8193779816044753e-14,True,1.7763568394002505e-15,1.5144604487149493e-08,True,1.068339761323145e-06,2.464612210428818e-07,True,1.7763568394002505e-15,1.6819878823071122e-14,True,1e-05
128,8,episode_cluster_seed_7,6.228346165482179e-07,5.730770274298136e-06,True,6.661338147750939e-16,1.887379141862766e-14,True,6.661338147750939e-16,1.514458930484963e-08,True,6.228346165482179e-07,1.0303302373781964e-07,True,6.661338147750939e-16,1.7263968032921184e-14,True,1e-05
1,9,episode_cluster_seed_8,1.1916385110444239e-05,0.00010197737173471555,False,6.328271240363392e-15,3.5388358909926865e-14,True,6.328271240363392e-15,1.5144631826391475e-08,True,1.1916385110444239e-05,2.6576822618473717e-06,False,6.328271240363392e-15,1.7486012637846216e-14,True,1e-05
8,9,episode_cluster_seed_8,2.2604326568309574e-06,2.1570705932713596e-05,False,2.220446049250313e-15,2.3328561304936102e-14,True,2.220446049250313e-15,1.514458930484963e-08,True,2.2604326568309574e-06,8.697611779961978e-07,True,2.220446049250313e-15,1.73749903353837e-14,True,1e-05
32,9,episode_cluster_seed_8,8.129096289444249e-07,3.2531277709968442e-06,True,1.5543122344752192e-15,1.637578961322106e-14,True,1.5543122344752192e-15,1.514459234408516e-08,True,8.129096289444249e-07,2.850815516430849e-07,True,1.5543122344752192e-15,1.6986412276764895e-14,True,1e-05
128,9,episode_cluster_seed_8,7.420439060989992e-07,7.928691550390665e-06,True,4.440892098500626e-16,1.8707257964933888e-14,True,4.440892098500626e-16,1.514458930484963e-08,True,7.420439060989992e-07,9.340388540390876e-08,True,4.440892098500626e-16,1.7263968032921184e-14,True,1e-05
1,10,episode_cluster_seed_9,2.100762312973181e-05,0.00017979868476022953,False,5.995204332975845e-15,1.0634548797128218e-13,True,5.995204332975845e-15,1.514454475715077e-08,True,2.100762312973181e-05,4.003136791802531e-06,False,5.995204332975845e-15,1.687538997430238e-14,True,1e-05
8,10,episode_cluster_seed_9,1.0438820695624074e-06,1.0206021622521932e-05,False,3.1086244689504383e-15,3.8441472227646045e-14,True,3.1086244689504383e-15,1.5144615631013103e-08,True,1.0438820695624074e-06,9.360284136672448e-07,True,3.1086244689504383e-15,1.6986412276764895e-14,True,1e-05
32,10,episode_cluster_seed_9,7.197995819385739e-07,6.274662657873575e-06,True,2.6645352591003757e-15,3.314015728506092e-14,True,2.6645352591003757e-15,1.5144584239457082e-08,True,7.197995819385739e-07,2.464612210428818e-07,True,2.6645352591003757e-15,1.6986412276764895e-14,True,1e-05
128,10,episode_cluster_seed_9,6.228346165482179e-07,5.730770274298136e-06,True,3.3306690738754696e-16,1.765254609153999e-14,True,3.3306690738754696e-16,1.5144585252535592e-08,True,6.228346165482179e-07,8.136432522176662e-08,True,3.3306690738754696e-16,1.7208456881689926e-14,True,1e-05
